SNo,E. Code,Name,Shift,S. InTime,S. OutTime,A. InTime,A. OutTime,Work Dur.,OT,Tot. Dur.,LateBy,EarlyGoingBy,Status,Punch Records,Date,In_Hours,Missed_swipe_ins,Missed_swipe_outs,Difference
14,00015,00015,GS,09:30,23:30,11:50,19:41,7:51,00:00,7:51,2:20,3:48,Present ,"11:50:in(Aidas Tech),12:50:out(Aidas Tech),12:54:(Aidas Tech),12:58:in(Aidas Tech),13:38:out(Aidas Tech),19:20:in(Aidas Tech),19:24:(Aidas Tech),19:41:out(Aidas Tech),",2023-02-16 00:00:00,01:57,0,2,05:54
16,00018,00018,GS,09:30,23:30,08:26,16:45,7:16,00:00,7:16,00:00,6:44,Present ,"08:26:in(Aidas Tech),10:22:out(Aidas Tech),10:47:in(Aidas Tech),11:12:out(Aidas Tech),11:21:in(Aidas Tech),13:18:out(Aidas Tech),14:12:in(Aidas Tech),16:45:out(Aidas Tech),",2023-02-16 00:00:00,06:51,0,0,00:25
17,00019,00019,GS,09:30,23:30,13:06,21:04,7:58,00:00,7:58,3:36,2:25,Present ,"13:06:in(Aidas Tech),13:42:out(Aidas Tech),13:46:(Aidas Tech),16:31:in(Aidas Tech),16:37:out(Aidas Tech),17:03:in(Aidas Tech),17:17:out(Aidas Tech),18:06:in(Aidas Tech),18:10:(Aidas Tech),18:26:out(Aidas Tech),18:39:in(Aidas Tech),20:22:out(Aidas Tech),20:28:in(Aidas Tech),21:04:out(Aidas Tech),",2023-02-16 00:00:00,03:31,0,2,04:27
18,00021,00021,GS,09:30,23:30,09:42,18:11,8:29,00:00,8:29,00:00,5:18,Present ,"09:42:in(Aidas Tech),10:21:out(Aidas Tech),10:47:in(Aidas Tech),13:18:out(Aidas Tech),14:29:in(Aidas Tech),14:29:(Aidas Tech),16:35:out(Aidas Tech),16:42:in(Aidas Tech),18:11:out(Aidas Tech),",2023-02-16 00:00:00,06:45,0,1,01:44
19,00024,00024,GS,09:30,23:30,13:18,22:12,8:54,00:00,8:54,3:48,1:17,Present ,"13:18:in(Aidas Tech),16:45:out(Aidas Tech),16:53:in(Aidas Tech),17:17:out(Aidas Tech),18:31:in(Aidas Tech),22:12:out(Aidas Tech),",2023-02-16 00:00:00,07:32,0,0,01:22
21,00027,00027,GS,09:30,23:30,10:38,20:01,9:23,00:00,9:23,1:08,3:28,Present ,"10:38:in(Aidas Tech),14:30:out(Aidas Tech),14:58:in(Aidas Tech),16:31:out(Aidas Tech),16:37:in(Aidas Tech),17:55:out(Aidas Tech),17:55:(Aidas Tech),18:28:in(Aidas Tech),18:53:out(Aidas Tech),20:01:in(Aidas Tech),",2023-02-16 00:00:00,07:08,0,1,02:15
23,00030,00030,GS,09:30,23:30,10:06,17:55,7:49,00:00,7:49,00:36,5:34,Present ,"10:06:in(Aidas Tech),10:56:out(Aidas Tech),11:22:in(Aidas Tech),13:28:out(Aidas Tech),14:20:in(Aidas Tech),16:32:out(Aidas Tech),16:34:(Aidas Tech),17:17:in(Aidas Tech),17:55:out(Aidas Tech),",2023-02-16 00:00:00,05:46,0,1,02:03
26,00034,00034,GS,09:30,23:30,11:22,17:16,5:54,00:00,5:54,1:52,6:13,Present ,"11:22:in(Aidas Tech),11:24:(Aidas Tech),11:26:(Aidas Tech),11:26:(Aidas Tech),12:44:out(Aidas Tech),12:46:(Aidas Tech),13:28:in(Aidas Tech),14:18:out(Aidas Tech),14:43:in(Aidas Tech),14:52:out(Aidas Tech),17:16:in(Aidas Tech),",2023-02-16 00:00:00,02:17,0,4,03:37
27,00035,00035,GS,09:30,23:30,14:01,21:58,7:57,00:00,7:57,4:31,1:31,Present ,"14:01:in(Aidas Tech),15:10:out(Aidas Tech),15:15:(Aidas Tech),16:29:in(Aidas Tech),16:35:out(Aidas Tech),17:17:in(Aidas Tech),17:54:out(Aidas Tech),21:51:in(Aidas Tech),21:52:(Aidas Tech),21:58:out(Aidas Tech),",2023-02-16 00:00:00,01:58,0,2,05:59
31,00041,00041,GS,09:30,23:30,08:59,20:02,10:33,00:00,10:33,00:00,3:27,Present ,"08:59:in(Aidas Tech),09:00:(Aidas Tech),09:04:out(Aidas Tech),10:56:in(Aidas Tech),11:22:out(Aidas Tech),14:27:in(Aidas Tech),17:17:out(Aidas Tech),17:56:in(Aidas Tech),19:45:out(Aidas Tech),19:53:in(Aidas Tech),20:02:out(Aidas Tech),",2023-02-16 00:00:00,05:18,0,1,05:15
1,00000,00000,GS,09:30,23:30,09:02,17:21,7:52,00:00,7:52,00:00,6:08,Present ,"09:02:in(Aidas Tech),11:02:out(Aidas Tech),11:30:in(Aidas Tech),12:08:out(Aidas Tech),12:32:in(Aidas Tech),14:06:out(Aidas Tech),15:06:in(Aidas Tech),16:31:out(Aidas Tech),16:56:in(Aidas Tech),17:21:out(Aidas Tech),",2023-02-17 00:00:00,06:02,0,0,01:50
5,1,1,GS,09:30,23:30,11:21,16:11,4:46,00:00,4:46,1:51,7:22,Present ,"11:21:in(Aidas Tech),11:23:(Aidas Tech),11:38:out(Aidas Tech),12:08:in(Aidas Tech),12:34:out(Aidas Tech),12:34:(Aidas Tech),14:25:in(Aidas Tech),15:03:out(Aidas Tech),15:03:(Aidas Tech),16:07:in(Aidas Tech),16:11:(Aidas Tech),16:11:(Aidas Tech),",2023-02-17 00:00:00,01:19,0,5,03:27
6,0003,0003,GS,09:30,23:30,14:28,23:11,8:43,00:00,8:43,4:58,00:18,Present ,"14:28:in(Aidas Tech),15:04:out(Aidas Tech),17:38:in(Aidas Tech),20:04:out(Aidas Tech),20:25:in(Aidas Tech),22:00:out(Aidas Tech),22:27:in(Aidas Tech),22:30:(Aidas Tech),23:11:out(Aidas Tech),",2023-02-17 00:00:00,05:18,0,1,03:25
7,00005,00005,GS,09:30,23:30,14:36,22:31,7:55,00:00,7:55,5:06,00:58,Present ,"14:36:in(Aidas Tech),18:30:out(Aidas Tech),19:34:in(Aidas Tech),21:18:out(Aidas Tech),21:22:(Aidas Tech),22:31:in(Aidas Tech),",2023-02-17 00:00:00,05:38,0,1,02:17
8,006,006,GS,09:30,23:30,14:15,21:49,7:34,00:00,7:34,4:45,1:40,Present ,"14:15:in(Aidas Tech),19:33:out(Aidas Tech),19:36:(Aidas Tech),21:49:in(Aidas Tech),21:49:(Aidas Tech),",2023-02-17 00:00:00,05:18,0,2,02:16
10,00007,00007,GS,09:30,23:30,11:36,18:28,6:52,00:00,6:52,2:06,5:01,Present ,"11:36:in(Aidas Tech),12:27:out(Aidas Tech),12:31:(Aidas Tech),12:31:(Aidas Tech),13:16:in(Aidas Tech),14:48:out(Aidas Tech),15:27:in(Aidas Tech),15:33:out(Aidas Tech),16:36:in(Aidas Tech),17:10:out(Aidas Tech),17:16:in(Aidas Tech),17:19:(Aidas Tech),18:28:out(Aidas Tech),",2023-02-17 00:00:00,04:12,0,3,02:40
11,0008,0008,GS,09:30,23:30,12:46,21:29,8:43,00:00,8:43,3:16,2:00,Present ,"12:46:in(Aidas Tech),15:13:out(Aidas Tech),15:43:in(Aidas Tech),17:12:out(Aidas Tech),17:17:(Aidas Tech),19:36:in(Aidas Tech),19:40:(Aidas Tech),20:52:out(Aidas Tech),20:56:(Aidas Tech),21:29:in(Aidas Tech),",2023-02-17 00:00:00,05:08,0,3,03:35
13,010,010,GS,09:30,23:30,09:11,19:26,9:57,00:00,9:57,00:00,4:03,Present ,"09:11:in(Aidas Tech),09:11:(Aidas Tech),10:49:out(Aidas Tech),10:55:in(Aidas Tech),12:03:out(Aidas Tech),12:06:(Aidas Tech),12:58:in(Aidas Tech),13:23:out(Aidas Tech),14:32:in(Aidas Tech),14:51:out(Aidas Tech),15:40:in(Aidas Tech),15:48:out(Aidas Tech),16:36:in(Aidas Tech),17:05:out(Aidas Tech),19:26:in(Aidas Tech),",2023-02-17 00:00:00,04:07,0,2,05:50
14,00015,00015,GS,09:30,23:30,11:48,19:30,7:42,00:00,7:42,2:18,3:59,Present ,"11:48:in(Aidas Tech),13:56:out(Aidas Tech),14:12:in(Aidas Tech),14:12:(Aidas Tech),14:14:(Aidas Tech),17:06:out(Aidas Tech),17:40:in(Aidas Tech),19:30:out(Aidas Tech),",2023-02-17 00:00:00,06:50,0,2,00:52
16,00018,00018,GS,09:30,23:30,08:17,17:21,7:52,00:00,7:52,00:00,6:09,Present ,"08:17:in(Aidas Tech),09:20:out(Aidas Tech),10:07:in(Aidas Tech),10:23:out(Aidas Tech),11:02:in(Aidas Tech),14:05:out(Aidas Tech),15:06:in(Aidas Tech),15:07:(Aidas Tech),15:14:out(Aidas Tech),16:31:in(Aidas Tech),16:56:out(Aidas Tech),17:21:in(Aidas Tech),",2023-02-17 00:00:00,04:54,0,1,02:58
17,00019,00019,GS,09:30,23:30,12:35,21:03,8:28,00:00,8:28,3:05,2:26,Present ,"12:35:in(Aidas Tech),13:42:out(Aidas Tech),13:48:in(Aidas Tech),14:46:out(Aidas Tech),14:51:in(Aidas Tech),15:49:out(Aidas Tech),15:51:(Aidas Tech),16:30:in(Aidas Tech),16:34:(Aidas Tech),17:26:out(Aidas Tech),17:42:in(Aidas Tech),19:15:out(Aidas Tech),19:19:(Aidas Tech),21:03:in(Aidas Tech),",2023-02-17 00:00:00,05:28,0,3,03:00
18,00021,00021,GS,09:30,23:30,10:07,17:17,7:10,00:00,7:10,00:37,6:12,Present ,"10:07:in(Aidas Tech),10:23:out(Aidas Tech),11:02:in(Aidas Tech),14:05:out(Aidas Tech),14:06:(Aidas Tech),15:14:in(Aidas Tech),15:14:(Aidas Tech),16:31:out(Aidas Tech),16:56:in(Aidas Tech),17:17:out(Aidas Tech),",2023-02-17 00:00:00,04:57,0,2,02:13
21,00027,00027,GS,09:30,23:30,10:16,22:03,11:47,00:00,11:47,00:46,1:26,Present ,"10:16:in(Aidas Tech),10:18:(Aidas Tech),10:42:out(Aidas Tech),13:44:in(Aidas Tech),13:49:out(Aidas Tech),15:37:in(Aidas Tech),15:39:(Aidas Tech),16:31:out(Aidas Tech),17:09:in(Aidas Tech),18:37:out(Aidas Tech),18:42:(Aidas Tech),19:26:in(Aidas Tech),20:05:out(Aidas Tech),21:17:in(Aidas Tech),21:20:(Aidas Tech),22:03:out(Aidas Tech),",2023-02-17 00:00:00,04:11,0,4,07:36
22,00028,00028,GS,09:30,23:30,15:03,21:48,6:45,00:00,6:45,5:33,1:41,Present ,"15:03:in(Aidas Tech),15:05:(Aidas Tech),15:50:out(Aidas Tech),15:50:(Aidas Tech),15:56:in(Aidas Tech),17:21:out(Aidas Tech),18:03:in(Aidas Tech),19:07:out(Aidas Tech),19:09:(Aidas Tech),20:04:in(Aidas Tech),20:25:out(Aidas Tech),21:21:in(Aidas Tech),21:23:(Aidas Tech),21:34:out(Aidas Tech),21:41:in(Aidas Tech),21:48:out(Aidas Tech),",2023-02-17 00:00:00,03:53,0,4,02:52
23,00030,00030,GS,09:30,23:30,09:47,19:25,9:38,00:00,9:38,00:17,4:04,Present ,"09:47:in(Aidas Tech),10:18:out(Aidas Tech),10:42:in(Aidas Tech),12:18:out(Aidas Tech),12:20:(Aidas Tech),13:20:in(Aidas Tech),13:48:out(Aidas Tech),16:31:in(Aidas Tech),17:09:out(Aidas Tech),17:49:in(Aidas Tech),17:51:(Aidas Tech),19:25:out(Aidas Tech),",2023-02-17 00:00:00,04:47,0,2,04:51
27,00035,00035,GS,09:30,23:30,14:15,21:49,7:34,00:00,7:34,4:45,1:40,Present ,"14:15:in(Aidas Tech),16:29:out(Aidas Tech),16:34:(Aidas Tech),19:41:in(Aidas Tech),19:45:(Aidas Tech),21:49:out(Aidas Tech),",2023-02-17 00:00:00,04:18,0,2,03:16
31,00041,00041,GS,09:30,23:30,09:11,19:03,9:34,00:00,9:34,00:00,4:26,Present ,"09:11:in(Aidas Tech),10:49:out(Aidas Tech),10:55:in(Aidas Tech),10:55:(Aidas Tech),12:59:out(Aidas Tech),13:45:in(Aidas Tech),15:40:out(Aidas Tech),15:48:in(Aidas Tech),16:36:out(Aidas Tech),17:05:in(Aidas Tech),17:05:(Aidas Tech),18:36:out(Aidas Tech),18:44:in(Aidas Tech),18:54:out(Aidas Tech),19:03:in(Aidas Tech),",2023-02-17 00:00:00,08:06,0,2,01:28
6,0003,0003,GS,09:30,23:30,15:01,21:55,6:54,00:00,6:54,5:31,1:34,Present ,"15:01:in(Aidas Tech),16:42:out(Aidas Tech),17:15:in(Aidas Tech),19:41:out(Aidas Tech),20:09:in(Aidas Tech),21:55:out(Aidas Tech),",2023-02-20 00:00:00,05:53,0,0,01:01
7,00005,00005,GS,09:30,23:30,11:23,21:21,9:58,00:00,9:58,1:53,2:09,Present ,"11:23:in(Aidas Tech),11:28:out(Aidas Tech),11:32:(Aidas Tech),13:16:in(Aidas Tech),13:16:(Aidas Tech),13:59:out(Aidas Tech),17:06:in(Aidas Tech),17:09:(Aidas Tech),17:53:out(Aidas Tech),18:29:in(Aidas Tech),21:21:out(Aidas Tech),",2023-02-20 00:00:00,04:24,0,3,05:34
8,006,006,GS,09:30,23:30,14:20,21:44,7:24,00:00,7:24,4:50,1:45,Present ,"14:20:in(Aidas Tech),19:03:out(Aidas Tech),21:44:in(Aidas Tech),",2023-02-20 00:00:00,04:43,0,0,02:41
9,007,007,GS,09:30,23:30,09:28,20:01,10:32,00:00,10:32,00:00,3:28,Present ,"09:28:in(Aidas Tech),09:57:out(Aidas Tech),10:01:(Aidas Tech),10:45:in(Aidas Tech),11:13:out(Aidas Tech),13:34:in(Aidas Tech),14:11:out(Aidas Tech),17:05:in(Aidas Tech),17:41:out(Aidas Tech),18:59:in(Aidas Tech),19:04:(Aidas Tech),20:01:out(Aidas Tech),",2023-02-20 00:00:00,03:07,0,2,07:25
10,00007,00007,GS,09:30,23:30,11:10,21:29,10:19,00:00,10:19,1:40,2:00,Present ,"11:10:in(Aidas Tech),11:10:(Aidas Tech),12:13:out(Aidas Tech),12:19:in(Aidas Tech),12:19:(Aidas Tech),13:08:out(Aidas Tech),14:04:in(Aidas Tech),15:53:out(Aidas Tech),15:58:(Aidas Tech),17:32:in(Aidas Tech),18:14:out(Aidas Tech),18:51:in(Aidas Tech),18:56:(Aidas Tech),19:41:out(Aidas Tech),19:43:(Aidas Tech),19:43:(Aidas Tech),21:29:in(Aidas Tech),",2023-02-20 00:00:00,05:08,0,6,05:11
13,010,010,GS,09:30,23:30,09:18,19:19,9:50,00:00,9:50,00:00,4:11,Present ,"09:18:in(Aidas Tech),10:45:out(Aidas Tech),11:10:in(Aidas Tech),12:44:out(Aidas Tech),12:48:(Aidas Tech),12:48:(Aidas Tech),13:34:in(Aidas Tech),14:11:out(Aidas Tech),14:12:(Aidas Tech),14:18:in(Aidas Tech),14:18:(Aidas Tech),16:30:out(Aidas Tech),16:36:in(Aidas Tech),17:05:out(Aidas Tech),17:41:in(Aidas Tech),19:19:out(Aidas Tech),",2023-02-20 00:00:00,07:57,0,4,01:53
14,00015,00015,GS,09:30,23:30,12:31,21:43,9:12,00:00,9:12,3:01,1:46,Present ,"12:31:in(Aidas Tech),12:59:out(Aidas Tech),13:17:in(Aidas Tech),14:52:out(Aidas Tech),15:18:in(Aidas Tech),16:42:out(Aidas Tech),17:15:in(Aidas Tech),18:54:out(Aidas Tech),19:03:in(Aidas Tech),19:39:out(Aidas Tech),20:09:in(Aidas Tech),21:32:out(Aidas Tech),21:33:(Aidas Tech),21:43:in(Aidas Tech),",2023-02-20 00:00:00,07:05,0,1,02:07
15,00017,00039,GS,09:30,23:30,09:20,18:52,9:23,00:00,9:23,00:00,4:37,Present ,"09:20:in(Aidas Tech),09:32:out(Aidas Tech),09:45:in(Aidas Tech),10:35:out(Aidas Tech),10:51:in(Aidas Tech),13:16:out(Aidas Tech),14:17:in(Aidas Tech),17:04:out(Aidas Tech),18:29:in(Aidas Tech),18:52:out(Aidas Tech),",2023-02-20 00:00:00,06:37,0,0,02:46
16,00018,00018,GS,09:30,23:30,08:12,16:52,7:23,00:00,7:23,00:00,6:37,Present ,"08:12:in(Aidas Tech),08:12:(Aidas Tech),09:31:out(Aidas Tech),09:47:in(Aidas Tech),13:23:out(Aidas Tech),14:09:in(Aidas Tech),16:23:out(Aidas Tech),16:43:in(Aidas Tech),16:52:out(Aidas Tech),",2023-02-20 00:00:00,07:18,0,1,00:05
17,00019,00019,GS,09:30,23:30,12:36,21:17,8:41,00:00,8:41,3:06,2:13,Present ,"12:36:in(Aidas Tech),13:32:out(Aidas Tech),13:38:in(Aidas Tech),15:22:out(Aidas Tech),15:24:(Aidas Tech),16:27:in(Aidas Tech),17:11:out(Aidas Tech),20:17:in(Aidas Tech),20:23:out(Aidas Tech),21:17:in(Aidas Tech),",2023-02-20 00:00:00,03:30,0,1,05:11
18,00021,00021,GS,09:30,23:30,09:23,16:52,7:23,00:00,7:23,00:00,6:37,Present ,"09:23:in(Aidas Tech),09:31:out(Aidas Tech),09:47:in(Aidas Tech),09:58:out(Aidas Tech),09:58:(Aidas Tech),09:58:(Aidas Tech),09:58:(Aidas Tech),09:58:(Aidas Tech),11:36:in(Aidas Tech),11:42:out(Aidas Tech),12:51:in(Aidas Tech),12:51:(Aidas Tech),12:51:(Aidas Tech),12:52:(Aidas Tech),12:52:(Aidas Tech),12:53:(Aidas Tech),13:17:out(Aidas Tech),14:09:in(Aidas Tech),14:25:out(Aidas Tech),14:31:in(Aidas Tech),14:51:out(Aidas Tech),14:54:(Aidas Tech),15:26:in(Aidas Tech),15:28:(Aidas Tech),15:30:(Aidas Tech),16:14:out(Aidas Tech),16:33:in(Aidas Tech),16:34:(Aidas Tech),16:52:out(Aidas Tech),",2023-02-20 00:00:00,02:27,0,13,04:56
19,00024,00024,GS,09:30,23:30,14:04,21:48,7:44,00:00,7:44,4:34,1:41,Present ,"14:04:in(Aidas Tech),14:04:(Aidas Tech),17:32:out(Aidas Tech),18:11:in(Aidas Tech),21:48:out(Aidas Tech),",2023-02-20 00:00:00,07:05,0,1,00:39
20,00026,00026,GS,09:30,23:30,12:01,21:16,9:15,00:00,9:15,2:31,2:13,Present ,"12:01:in(Aidas Tech),12:01:(Aidas Tech),13:17:out(Aidas Tech),13:59:in(Aidas Tech),15:16:out(Aidas Tech),15:20:(Aidas Tech),17:04:in(Aidas Tech),17:43:out(Aidas Tech),17:43:(Aidas Tech),18:59:in(Aidas Tech),19:04:(Aidas Tech),21:16:out(Aidas Tech),",2023-02-20 00:00:00,05:24,0,4,03:51
21,00027,00027,GS,09:30,23:30,10:48,21:48,11:00,00:00,11:00,1:18,1:41,Present ,"10:48:in(Aidas Tech),11:17:out(Aidas Tech),11:19:(Aidas Tech),12:01:in(Aidas Tech),12:19:out(Aidas Tech),13:34:in(Aidas Tech),14:11:out(Aidas Tech),15:51:in(Aidas Tech),15:52:(Aidas Tech),18:42:out(Aidas Tech),18:45:(Aidas Tech),20:09:in(Aidas Tech),20:12:(Aidas Tech),21:48:out(Aidas Tech),",2023-02-20 00:00:00,05:50,0,4,05:10
22,00028,00028,GS,09:30,23:30,15:01,21:49,6:47,00:00,6:47,5:31,1:41,Present ,"15:01:in(Aidas Tech),17:15:out(Aidas Tech),17:43:in(Aidas Tech),17:48:out(Aidas Tech),17:51:(Aidas Tech),19:41:in(Aidas Tech),20:09:out(Aidas Tech),21:48:in(Aidas Tech),21:49:(Aidas Tech),21:49:(Aidas Tech),",2023-02-20 00:00:00,02:47,0,3,04:00
23,00030,00030,GS,09:30,23:30,10:34,20:09,9:35,00:00,9:35,1:04,3:20,Present ,"10:34:in(Aidas Tech),12:13:out(Aidas Tech),12:19:in(Aidas Tech),13:34:out(Aidas Tech),14:11:in(Aidas Tech),17:05:out(Aidas Tech),17:41:in(Aidas Tech),20:09:out(Aidas Tech),",2023-02-20 00:00:00,08:16,0,0,01:19
27,00035,00035,GS,09:30,23:30,14:20,21:55,7:35,00:00,7:35,4:50,1:34,Present ,"14:20:in(Aidas Tech),15:17:out(Aidas Tech),15:39:in(Aidas Tech),20:34:out(Aidas Tech),20:38:(Aidas Tech),21:55:in(Aidas Tech),",2023-02-20 00:00:00,05:52,0,1,01:43
28,00036,00036,GS,09:30,23:30,13:54,21:52,7:54,00:00,7:54,4:24,1:41,Present ,"13:54:in(Aidas Tech),15:17:out(Aidas Tech),15:39:in(Aidas Tech),17:48:out(Aidas Tech),17:56:in(Aidas Tech),18:23:out(Aidas Tech),18:26:(Aidas Tech),19:34:in(Aidas Tech),19:38:(Aidas Tech),20:45:out(Aidas Tech),20:49:(Aidas Tech),21:48:in(Aidas Tech),21:52:(Aidas Tech),",2023-02-20 00:00:00,05:06,0,4,02:48
31,00041,00041,GS,09:30,23:30,09:18,19:22,9:53,00:00,9:53,00:00,4:07,Present ,"09:18:in(Aidas Tech),10:44:out(Aidas Tech),11:10:in(Aidas Tech),11:10:(Aidas Tech),11:10:(Aidas Tech),11:20:out(Aidas Tech),11:21:(Aidas Tech),11:21:(Aidas Tech),12:44:in(Aidas Tech),12:48:(Aidas Tech),12:48:(Aidas Tech),13:34:out(Aidas Tech),14:11:in(Aidas Tech),14:12:(Aidas Tech),14:18:out(Aidas Tech),17:05:in(Aidas Tech),17:41:out(Aidas Tech),19:22:in(Aidas Tech),",2023-02-20 00:00:00,03:04,0,7,06:49
33,0045,0045,GS,09:30,23:30,09:58,17:57,7:59,00:00,7:59,00:28,5:32,Present ,"09:58:in(Aidas Tech),11:28:out(Aidas Tech),11:32:(Aidas Tech),11:32:(Aidas Tech),13:17:in(Aidas Tech),14:09:out(Aidas Tech),16:34:in(Aidas Tech),16:38:(Aidas Tech),17:06:out(Aidas Tech),17:43:in(Aidas Tech),17:57:out(Aidas Tech),",2023-02-20 00:00:00,03:04,0,3,04:55
1,00000,00000,GS,09:30,23:30,09:01,17:53,8:24,00:00,8:24,00:00,5:36,Present ,"09:01:in(Aidas Tech),11:22:out(Aidas Tech),11:55:in(Aidas Tech),13:12:out(Aidas Tech),14:06:in(Aidas Tech),15:34:out(Aidas Tech),15:39:(Aidas Tech),17:53:in(Aidas Tech),",2023-02-21 00:00:00,05:06,0,1,03:18
5,1,1,GS,09:30,23:30,14:00,18:06,4:06,00:00,4:06,4:30,5:23,Present ,"14:00:in(Aidas Tech),14:00:(Aidas Tech),15:27:out(Aidas Tech),15:50:in(Aidas Tech),16:49:out(Aidas Tech),16:54:in(Aidas Tech),16:54:(Aidas Tech),18:06:out(Aidas Tech),",2023-02-21 00:00:00,03:38,0,2,00:28
6,0003,0003,GS,09:30,23:30,14:02,19:21,5:19,00:00,5:19,4:32,4:08,Present ,"14:02:in(Aidas Tech),15:07:out(Aidas Tech),15:41:in(Aidas Tech),16:55:out(Aidas Tech),19:21:in(Aidas Tech),",2023-02-21 00:00:00,02:19,0,0,03:00
7,00005,00005,GS,09:30,23:30,15:20,21:14,5:54,00:00,5:54,5:50,2:15,Present ,"15:20:in(Aidas Tech),17:44:out(Aidas Tech),17:44:(Aidas Tech),17:48:(Aidas Tech),18:28:in(Aidas Tech),19:25:out(Aidas Tech),19:29:(Aidas Tech),21:14:in(Aidas Tech),",2023-02-21 00:00:00,03:21,0,3,02:33
8,006,006,GS,09:30,23:30,14:14,21:29,7:15,00:00,7:15,4:44,2:00,Present ,"14:14:in(Aidas Tech),18:51:out(Aidas Tech),19:30:in(Aidas Tech),20:30:out(Aidas Tech),20:33:(Aidas Tech),21:29:in(Aidas Tech),",2023-02-21 00:00:00,05:37,0,1,01:38
9,007,007,GS,09:30,23:30,09:35,19:49,10:14,00:00,10:14,00:00,3:40,Present ,"09:35:in(Aidas Tech),09:55:out(Aidas Tech),09:57:(Aidas Tech),13:12:in(Aidas Tech),14:10:out(Aidas Tech),16:26:in(Aidas Tech),17:23:out(Aidas Tech),17:23:(Aidas Tech),19:49:in(Aidas Tech),",2023-02-21 00:00:00,02:15,0,2,07:59
11,0008,0008,GS,09:30,23:30,12:03,20:39,8:36,00:00,8:36,2:33,2:50,Present ,"12:03:in(Aidas Tech),13:38:out(Aidas Tech),14:27:in(Aidas Tech),18:31:out(Aidas Tech),19:21:in(Aidas Tech),19:21:(Aidas Tech),19:57:out(Aidas Tech),19:59:(Aidas Tech),20:31:in(Aidas Tech),20:32:(Aidas Tech),20:39:out(Aidas Tech),",2023-02-21 00:00:00,06:22,0,3,02:14
13,010,010,GS,09:30,23:30,09:18,19:47,10:18,00:00,10:18,00:00,3:42,Present ,"09:18:in(Aidas Tech),09:18:(Aidas Tech),09:20:(Aidas Tech),09:23:(Aidas Tech),09:48:out(Aidas Tech),10:16:in(Aidas Tech),10:42:out(Aidas Tech),10:47:(Aidas Tech),12:48:in(Aidas Tech),12:54:out(Aidas Tech),13:12:in(Aidas Tech),14:06:out(Aidas Tech),14:11:in(Aidas Tech),14:11:(Aidas Tech),15:31:out(Aidas Tech),15:36:in(Aidas Tech),16:26:out(Aidas Tech),17:23:in(Aidas Tech),19:47:out(Aidas Tech),",2023-02-21 00:00:00,06:25,0,5,03:53
14,00015,00015,GS,09:30,23:30,10:44,18:15,7:31,00:00,7:31,1:14,5:14,Present ,"10:44:in(Aidas Tech),11:17:out(Aidas Tech),14:03:in(Aidas Tech),14:27:out(Aidas Tech),16:06:in(Aidas Tech),18:15:out(Aidas Tech),",2023-02-21 00:00:00,03:06,0,0,04:25
15,00017,00039,GS,09:30,23:30,09:18,18:13,8:44,00:00,8:44,00:00,5:17,Present ,"09:18:in(Aidas Tech),11:37:out(Aidas Tech),11:51:in(Aidas Tech),13:11:out(Aidas Tech),13:58:in(Aidas Tech),15:13:out(Aidas Tech),15:41:in(Aidas Tech),16:33:out(Aidas Tech),17:12:in(Aidas Tech),18:13:out(Aidas Tech),",2023-02-21 00:00:00,06:47,0,0,01:57
16,00018,00018,GS,09:30,23:30,08:19,17:02,7:33,00:00,7:33,00:00,6:27,Present ,"08:19:in(Aidas Tech),11:22:out(Aidas Tech),11:52:in(Aidas Tech),11:52:(Aidas Tech),13:12:out(Aidas Tech),14:06:in(Aidas Tech),16:34:out(Aidas Tech),16:38:(Aidas Tech),17:02:in(Aidas Tech),",2023-02-21 00:00:00,06:51,0,2,00:42
17,00019,00019,GS,09:30,23:30,12:47,21:03,8:16,00:00,8:16,3:17,2:26,Present ,"12:47:in(Aidas Tech),13:52:out(Aidas Tech),13:57:in(Aidas Tech),14:51:out(Aidas Tech),14:56:(Aidas Tech),14:56:(Aidas Tech),15:53:in(Aidas Tech),15:57:(Aidas Tech),17:50:out(Aidas Tech),18:30:in(Aidas Tech),21:03:out(Aidas Tech),",2023-02-21 00:00:00,06:25,0,3,01:51
19,00024,00024,GS,09:30,23:30,15:38,21:21,5:43,00:00,5:43,6:08,2:08,Present ,"15:38:in(Aidas Tech),18:25:out(Aidas Tech),19:31:in(Aidas Tech),21:21:out(Aidas Tech),",2023-02-21 00:00:00,04:37,0,0,01:06
21,00027,00027,GS,09:30,23:30,10:26,20:52,10:26,00:00,10:26,00:56,2:37,Present ,"10:26:in(Aidas Tech),10:49:out(Aidas Tech),11:05:in(Aidas Tech),11:22:out(Aidas Tech),11:48:in(Aidas Tech),13:38:out(Aidas Tech),14:27:in(Aidas Tech),15:25:out(Aidas Tech),15:28:(Aidas Tech),16:11:in(Aidas Tech),17:25:out(Aidas Tech),18:52:in(Aidas Tech),18:55:(Aidas Tech),20:52:out(Aidas Tech),",2023-02-21 00:00:00,06:39,0,2,03:47
23,00030,00030,GS,09:30,23:30,09:41,19:47,10:06,00:00,10:06,00:00,3:42,Present ,"09:41:in(Aidas Tech),09:49:out(Aidas Tech),10:16:in(Aidas Tech),12:45:out(Aidas Tech),12:54:in(Aidas Tech),13:13:out(Aidas Tech),14:10:in(Aidas Tech),16:26:out(Aidas Tech),17:23:in(Aidas Tech),19:47:out(Aidas Tech),",2023-02-21 00:00:00,07:36,0,0,02:30
